Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.2125,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.33,0.67,67104684.692307696,5.323880597014925,84.65757575757576,3.055223880597015
1.2125,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.313,0.687,58348073.11111111,5.241630276564774,83.42811501597444,2.8777292576419216
1.225,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.334,0.666,86972047.0,5.075075075075075,75.562874251497,3.114114114114114
1.225,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.35,0.65,,4.855384615384615,68.28571428571429,2.9646153846153847
1.225,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.331,0.669,,5.017937219730942,61.27190332326284,2.9596412556053813
1.225,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.316,0.684,,4.773391812865497,56.79430379746835,2.8596491228070176
1.225,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.331,0.669,151244957.0,5.026905829596412,52.37160120845922,2.9417040358744395
1.225,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.323,0.677,,5.078286558345643,51.086687306501545,2.9615952732644018
1.225,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.357,0.643,,5.2410575427682735,49.12044817927171,3.0622083981337482
1.225,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.34,0.66,,5.168181818181818,47.082352941176474,2.93030303030303
1.225,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.335,0.665,97347636.8,4.69172932330827,80.6268656716418,2.8511278195488723
1.225,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.349,0.651,63387046.71428572,5.207373271889401,80.53868194842407,3.0276497695852536
1.2375,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.364,0.636,30085805.0,4.687106918238993,73.37087912087912,2.7783018867924527
1.2375,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.397,0.603,,3.888888888888889,66.16876574307305,2.5870646766169156
1.2375,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.355,0.645,,4.564341085271318,59.261971830985914,2.8015503875968992
1.2375,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.39,0.61,,4.222950819672131,55.76923076923077,2.6721311475409837
1.2375,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.358,0.642,,5.014018691588785,51.61173184357542,2.853582554517134
